date,title,amount
2026-04-23,Pagamento recebido,-40.00
2026-04-21,Pagamento recebido,-420.00
2026-04-11,Lovable,130.60
2026-04-11,"IOF de ""Lovable""",4.57
2026-04-09,Linkedin,419.88
2026-04-06,Render.Com,83.27
2026-04-06,"IOF de ""Render.Com""",2.91
2026-04-03,EBW*Canva - NuPay,35.00
2026-04-02,Reivacar Auto Mecanic - Parcela 4/5,389.60
2026-04-02,Dm *Open English - Parcela 2/12,240.39
2026-04-02,Ecommerce Mi*Mizuno Br - Parcela 8/10,26.17
2026-04-02,Pagamento recebido,-1126.49
2026-04-02,Htm*Asimov Academy Cur - Parcela 3/12,67.90
